ITEM CODE,工作表名称,图片文件名,图片URL,
CE11-BKCH-HWSWI-004,五金杂件及工程灯具,CE11-BKCH-HWSWI-004.png,http://renli2026.oss-cn-chengdu.aliyuncs.com/materials/%E4%BA%94%E9%87%91%E6%9D%82%E4%BB%B6%E5%8F%8A%E5%B7%A5%E7%A8%8B%E7%81%AF%E5%85%B7/CE11-BKCH-HWSWI-004.png,"INSERT INTO materials (code, name, image, description, price, create_time) VALUES ('CE11-BKCH-HWSWI-004', '五金杂件及工程灯具', 'http://renli2026.oss-cn-chengdu.aliyuncs.com/materials/%E4%BA%94%E9%87%91%E6%9D%82%E4%BB%B6%E5%8F%8A%E5%B7%A5%E7%A8%8B%E7%81%AF%E5%85%B7/CE11-BKCH-HWSWI-004.png', '', 0, NOW());"
CE11-BKCH-HWSWI-005,五金杂件及工程灯具,CE11-BKCH-HWSWI-005.png,http://renli2026.oss-cn-chengdu.aliyuncs.com/materials/%E4%BA%94%E9%87%91%E6%9D%82%E4%BB%B6%E5%8F%8A%E5%B7%A5%E7%A8%8B%E7%81%AF%E5%85%B7/CE11-BKCH-HWSWI-005.png,"INSERT INTO materials (code, name, image, description, price, create_time) VALUES ('CE11-BKCH-HWSWI-005', '五金杂件及工程灯具', 'http://renli2026.oss-cn-chengdu.aliyuncs.com/materials/%E4%BA%94%E9%87%91%E6%9D%82%E4%BB%B6%E5%8F%8A%E5%B7%A5%E7%A8%8B%E7%81%AF%E5%85%B7/CE11-BKCH-HWSWI-005.png', '', 0, NOW());"
CE11-BKCH-HWSWI-006,五金杂件及工程灯具,CE11-BKCH-HWSWI-006.png,http://renli2026.oss-cn-chengdu.aliyuncs.com/materials/%E4%BA%94%E9%87%91%E6%9D%82%E4%BB%B6%E5%8F%8A%E5%B7%A5%E7%A8%8B%E7%81%AF%E5%85%B7/CE11-BKCH-HWSWI-006.png,"INSERT INTO materials (code, name, image, description, price, create_time) VALUES ('CE11-BKCH-HWSWI-006', '五金杂件及工程灯具', 'http://renli2026.oss-cn-chengdu.aliyuncs.com/materials/%E4%BA%94%E9%87%91%E6%9D%82%E4%BB%B6%E5%8F%8A%E5%B7%A5%E7%A8%8B%E7%81%AF%E5%85%B7/CE11-BKCH-HWSWI-006.png', '', 0, NOW());"
CE11-BKCH-HWTRA-001,五金杂件及工程灯具,CE11-BKCH-HWTRA-001.png,http://renli2026.oss-cn-chengdu.aliyuncs.com/materials/%E4%BA%94%E9%87%91%E6%9D%82%E4%BB%B6%E5%8F%8A%E5%B7%A5%E7%A8%8B%E7%81%AF%E5%85%B7/CE11-BKCH-HWTRA-001.png,"INSERT INTO materials (code, name, image, description, price, create_time) VALUES ('CE11-BKCH-HWTRA-001', '五金杂件及工程灯具', 'http://renli2026.oss-cn-chengdu.aliyuncs.com/materials/%E4%BA%94%E9%87%91%E6%9D%82%E4%BB%B6%E5%8F%8A%E5%B7%A5%E7%A8%8B%E7%81%AF%E5%85%B7/CE11-BKCH-HWTRA-001.png', '', 0, NOW());"
CE11-BKCH-HWTRA-002,五金杂件及工程灯具,CE11-BKCH-HWTRA-002.png,http://renli2026.oss-cn-chengdu.aliyuncs.com/materials/%E4%BA%94%E9%87%91%E6%9D%82%E4%BB%B6%E5%8F%8A%E5%B7%A5%E7%A8%8B%E7%81%AF%E5%85%B7/CE11-BKCH-HWTRA-002.png,"INSERT INTO materials (code, name, image, description, price, create_time) VALUES ('CE11-BKCH-HWTRA-002', '五金杂件及工程灯具', 'http://renli2026.oss-cn-chengdu.aliyuncs.com/materials/%E4%BA%94%E9%87%91%E6%9D%82%E4%BB%B6%E5%8F%8A%E5%B7%A5%E7%A8%8B%E7%81%AF%E5%85%B7/CE11-BKCH-HWTRA-002.png', '', 0, NOW());"
CE11-WHRN-HWELI-007,五金杂件及工程灯具,CE11-WHRN-HWELI-007.png,http://renli2026.oss-cn-chengdu.aliyuncs.com/materials/%E4%BA%94%E9%87%91%E6%9D%82%E4%BB%B6%E5%8F%8A%E5%B7%A5%E7%A8%8B%E7%81%AF%E5%85%B7/CE11-WHRN-HWELI-007.png,"INSERT INTO materials (code, name, image, description, price, create_time) VALUES ('CE11-WHRN-HWELI-007', '五金杂件及工程灯具', 'http://renli2026.oss-cn-chengdu.aliyuncs.com/materials/%E4%BA%94%E9%87%91%E6%9D%82%E4%BB%B6%E5%8F%8A%E5%B7%A5%E7%A8%8B%E7%81%AF%E5%85%B7/CE11-WHRN-HWELI-007.png', '', 0, NOW());"
CE11-WHRN-HWSWI-001,五金杂件及工程灯具,CE11-WHRN-HWSWI-001.png,http://renli2026.oss-cn-chengdu.aliyuncs.com/materials/%E4%BA%94%E9%87%91%E6%9D%82%E4%BB%B6%E5%8F%8A%E5%B7%A5%E7%A8%8B%E7%81%AF%E5%85%B7/CE11-WHRN-HWSWI-001.png,"INSERT INTO materials (code, name, image, description, price, create_time) VALUES ('CE11-WHRN-HWSWI-001', '五金杂件及工程灯具', 'http://renli2026.oss-cn-chengdu.aliyuncs.com/materials/%E4%BA%94%E9%87%91%E6%9D%82%E4%BB%B6%E5%8F%8A%E5%B7%A5%E7%A8%8B%E7%81%AF%E5%85%B7/CE11-WHRN-HWSWI-001.png', '', 0, NOW());"
CE11-WHRN-HWSWI-002,五金杂件及工程灯具,CE11-WHRN-HWSWI-002.png,http://renli2026.oss-cn-chengdu.aliyuncs.com/materials/%E4%BA%94%E9%87%91%E6%9D%82%E4%BB%B6%E5%8F%8A%E5%B7%A5%E7%A8%8B%E7%81%AF%E5%85%B7/CE11-WHRN-HWSWI-002.png,"INSERT INTO materials (code, name, image, description, price, create_time) VALUES ('CE11-WHRN-HWSWI-002', '五金杂件及工程灯具', 'http://renli2026.oss-cn-chengdu.aliyuncs.com/materials/%E4%BA%94%E9%87%91%E6%9D%82%E4%BB%B6%E5%8F%8A%E5%B7%A5%E7%A8%8B%E7%81%AF%E5%85%B7/CE11-WHRN-HWSWI-002.png', '', 0, NOW());"
CM03-TRBT-HWGLU-001,五金杂件及工程灯具,CM03-TRBT-HWGLU-001.png,http://renli2026.oss-cn-chengdu.aliyuncs.com/materials/%E4%BA%94%E9%87%91%E6%9D%82%E4%BB%B6%E5%8F%8A%E5%B7%A5%E7%A8%8B%E7%81%AF%E5%85%B7/CM03-TRBT-HWGLU-001.png,"INSERT INTO materials (code, name, image, description, price, create_time) VALUES ('CM03-TRBT-HWGLU-001', '五金杂件及工程灯具', 'http://renli2026.oss-cn-chengdu.aliyuncs.com/materials/%E4%BA%94%E9%87%91%E6%9D%82%E4%BB%B6%E5%8F%8A%E5%B7%A5%E7%A8%8B%E7%81%AF%E5%85%B7/CM03-TRBT-HWGLU-001.png', '', 0, NOW());"
CM05-WHRN-HWVEN-001,五金杂件及工程灯具,CM05-WHRN-HWVEN-001.png,http://renli2026.oss-cn-chengdu.aliyuncs.com/materials/%E4%BA%94%E9%87%91%E6%9D%82%E4%BB%B6%E5%8F%8A%E5%B7%A5%E7%A8%8B%E7%81%AF%E5%85%B7/CM05-WHRN-HWVEN-001.png,"INSERT INTO materials (code, name, image, description, price, create_time) VALUES ('CM05-WHRN-HWVEN-001', '五金杂件及工程灯具', 'http://renli2026.oss-cn-chengdu.aliyuncs.com/materials/%E4%BA%94%E9%87%91%E6%9D%82%E4%BB%B6%E5%8F%8A%E5%B7%A5%E7%A8%8B%E7%81%AF%E5%85%B7/CM05-WHRN-HWVEN-001.png', '', 0, NOW());"
MT06-GYQH-HWNIL-001,五金杂件及工程灯具,MT06-GYQH-HWNIL-001.png,http://renli2026.oss-cn-chengdu.aliyuncs.com/materials/%E4%BA%94%E9%87%91%E6%9D%82%E4%BB%B6%E5%8F%8A%E5%B7%A5%E7%A8%8B%E7%81%AF%E5%85%B7/MT06-GYQH-HWNIL-001.png,"INSERT INTO materials (code, name, image, description, price, create_time) VALUES ('MT06-GYQH-HWNIL-001', '五金杂件及工程灯具', 'http://renli2026.oss-cn-chengdu.aliyuncs.com/materials/%E4%BA%94%E9%87%91%E6%9D%82%E4%BB%B6%E5%8F%8A%E5%B7%A5%E7%A8%8B%E7%81%AF%E5%85%B7/MT06-GYQH-HWNIL-001.png', '', 0, NOW());"
